Route,Run,Sequence,Bus_Stop_Code
108,2,34,56149
109,1,1,53823
109,1,2,52845
109,1,3,48143
109,1,4,75298
109,1,5,71747
109,1,6,52599
109,1,7,57154
109,1,8,50050
109,1,9,53878
109,1,10,54668
109,1,11,48638
109,1,12,77917
109,1,13,53753
109,1,14,72264
109,1,15,47603
109,1,16,49526
109,1,17,49897
109,1,18,49498
109,1,19,73695
109,1,20,48213
109,1,21,73860
109,1,22,91240
109,1,23,72937
109,1,24,58582
109,1,25,72297
109,1,26,50410
109,1,27,57540
109,1,28,77147
109,1,29,49265
109,1,30,54038
109,1,31,56587
109,1,32,71521
109,1,33,75381
109,1,34,54058
109,1,35,72781
109,1,36,53708
109,1,37,75873
109,2,1,52704
109,2,2,71414
109,2,3,57288
109,2,4,50617
109,2,5,74502
109,2,6,48895
109,2,7,76606
109,2,8,71495
109,2,9,77465
109,2,10,72992
109,2,11,58149
109,2,12,76563
109,2,13,56774
109,2,14,49653
109,2,15,58192
109,2,16,49314
109,2,17,54923
109,2,18,48459
109,2,19,54460
109,2,20,47593
109,2,21,55646
109,2,22,50118
109,2,23,53987
109,2,24,74336
109,2,25,52239
109,2,26,51895
109,2,27,58519
109,2,28,52641
109,2,29,73756
109,2,30,59091
109,2,31,71410
109,2,32,47391
109,2,33,54644
109,2,34,75908
109,2,35,52748
109,2,36,58244
109,2,37,49231
109,2,38,71788
109,2,39,51343
11,1,1,52167
11,1,2,47066
11,1,3,72837
11,1,4,76516
11,1,5,75073
11,1,6,49302
11,1,7,76246
11,1,8,51620
11,1,9,58984
11,1,10,47047
11,1,11,76602
11,1,12,47903
11,1,13,71753
11,1,14,77040
11,1,15,51766
11,1,16,54491
11,1,17,47666
11,1,18,55571
11,1,19,91507
11,1,20,56349
11,1,21,72807
11,1,22,71359
11,1,23,76870
11,1,24,50906
11,1,25,49892
11,1,26,54289
11,1,27,75322
11,1,28,51475
11,1,29,56242
11,1,30,73152
11,1,31,47546
11,1,32,56735
11,1,33,53477
11,1,34,56901
11,1,35,51659
11,1,36,73256
11,1,37,48702
11,1,38,58298
11,2,1,77688
11,2,2,56153
11,2,3,52318
11,2,4,72432
11,2,5,73195
11,2,6,49762
11,2,7,51004
11,2,8,77565
11,2,9,52782
11,2,10,77866
11,2,11,76629
11,2,12,76996
11,2,13,52128
11,2,14,71636
11,2,15,77694
11,2,16,48235
11,2,17,52166
11,2,18,51155
11,2,19,47982
11,2,20,73241
11,2,21,54915
11,2,22,54249
11,2,23,49131
11,2,24,73175
11,2,25,74192
11,2,26,74881
11,2,27,56694
11,2,28,55013
11,2,29,52883
11,2,30,53793
11,2,31,49861
11,2,32,56178
11,2,33,54349
11,2,34,54613
11,2,35,58700
11,2,36,51531
11,2,37,54955
11,2,38,77689
11,2,39,58884
110,1,1,71758
110,1,2,54490
110,1,3,52938
110,1,4,75780
110,1,5,50039
110,1,6,50650
110,1,7,72419
110,1,8,47054
110,1,9,77847
110,1,10,54189
110,1,11,51712
110,1,12,71210
110,1,13,55271
110,1,14,57969
110,1,15,73746
110,1,16,71776
110,1,17,51942
110,1,18,75807
110,1,19,49143
110,1,20,58076
110,1,21,72293
110,1,22,56126
110,1,23,51756
110,1,24,72863
110,1,25,59102
110,1,26,71089
110,1,27,72776
110,1,28,49145
110,1,29,50667
110,1,30,52586
110,1,31,51913
110,1,32,58639
110,1,33,72474
110,1,34,55387
110,1,35,51533
110,1,36,74267
110,2,1,50369
110,2,2,51912
110,2,3,52296
110,2,4,50911
110,2,5,51278
110,2,6,56919
110,2,7,73030
110,2,8,57426
110,2,9,57120
110,2,10,77377
110,2,11,56796
110,2,12,55061
110,2,13,72274
110,2,14,54624
110,2,15,55476
110,2,16,53216
110,2,17,73357
110,2,18,56949
110,2,19,52678
110,2,20,74996
110,2,21,72117
110,2,22,57131
110,2,23,77408
110,2,24,58563
110,2,25,76726
110,2,26,54441
110,2,27,48711
110,2,28,73727
110,2,29,51774
110,2,30,77714
110,2,31,73041
110,2,32,59202
110,2,33,53550
110,2,34,71758
111,1,1,75558
111,1,2,74896
111,1,3,57175
111,1,4,49657
111,1,5,51052
111,1,6,56055
111,1,7,73570
111,1,8,50168
111,1,9,51416
111,1,10,53764
111,1,11,72523
111,1,12,71090
111,1,13,58658
111,1,14,50708
111,1,15,48585
111,1,16,49239
111,1,17,55439
111,1,18,72872
111,1,19,59305
111,1,20,76924
111,1,21,55021
111,1,22,55227
111,1,23,74589
111,1,24,50583
111,1,25,75576
111,1,26,48740
111,1,27,71188
111,1,28,75437
111,1,29,55861
111,1,30,53967
111,1,31,51404
111,1,32,71776
111,1,33,51942
