Route,Direction,Direction_Destination
305,2,EDGWARE STATION 
307,1,BARNET HOSPITAL
307,2,BRIMSDOWN STATION 
308,1,CLAPTON PARK
308,2,WOODBINE PLACE
309,1,LONDON CHEST HOSPITAL
309,2,CANNING TOWN STATION  [DLR]
312,1,NORWOOD JUNCTION STATION 
312,2,SOUTH CROYDON BUS GARAGE
313,1,DAME ALICE OWENS SCHOOL
313,2,CHINGFORD STATION 
314,1,SALCOT CRESCENT
314,2,ELTHAM BUS STATION 
315,1,BALHAM STATION  
315,2,ROTHSCHILD STREET
316,1,WHITE CITY BUS STATION 
316,2,LONGLEY WAY
317,1,LITTLE PARK GARDENS
317,2,WALTHAM CROSS BUS STATION
318,1,EGERTON ROAD
318,2,NORTH MIDDLESEX HOSPITAL
319,1,CADOGAN GARDENS / SLOANE SQUARE
319,2,TELFORD AVENUE
320,1,CATFORD BRIDGE STATION 
320,2,BIGGIN HILL VALLEY
321,1,NEW CROSS SAINSBURY'S
321,2,FOOTS CRAY TESCO
322,1,CLAPHAM COMMON OLD TOWN
322,2,CRYSTAL PALACE PARADE
323,1,MILE END STATION 
323,2,CANNING TOWN STATION  [DLR]
324,1,TESCO BRENT CROSS
324,2,STANMORE STATION 
325,1,PRINCE REGENT BUS STATION [DLR]
325,2,SAINSBURY'S EAST BECKTON
326,1,BRENT CROSS SHOPPING CENTRE
326,2,THE SPIRES
327,1,COCKER ROAD
327,2,WALTHAM CROSS BUS STATION
328,1,LIMERSTON STREET
328,2,GOLDERS GREEN STATION 
329,1,TURNPIKE LANE STATION 
329,2,LITTLE PARK GARDENS
330,1,CANNING TOWN STATION  [DLR]
330,2,WANSTEAD PARK STATION 
331,1,BELMONT ROAD
331,2,RUISLIP STATION 
332,1,BISHOP'S BRIDGE
332,2,BRENT PARK TESCO
333,1,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
333,2,TOOTING BROADWAY STATION 
336,1,LOCKSBOTTOM / PALLANT WAY
336,2,CATFORD BRIDGE STATION 
337,1,RICHMOND BUS STATION
337,2,BOLINGBROKE GROVE
339,1,SHADWELL STATION  [DLR]
339,2,STRATFORD CITY BUS STATION
340,1,HARROW BUS STATION
340,2,EDGWARE STATION 
341,1,COUNTY HALL
341,2,GLOVER DRIVE / TESCO
343,1,NEW CROSS / JERNINGHAM ROAD
343,2,CITY HALL
344,1,APPOLD STREET
344,2,CLAPHAM JUNCTION STATION 
345,1,NATURAL HISTORY MUSEUM / CROMWELL ROAD
345,2,PECKHAM BUS STATION
346,1,LEXINGTON WAY
346,2,UPMINSTER STATION FORECOURT  
347,1,OCKENDON STATION 
347,2,ROMFORD STATION 
349,1,EGERTON ROAD
349,2,GLYN ROAD
350,1,HEATHROW TERMINAL 5
350,2,BLYTH ROAD
352,1,BELL GREEN / SAINSBURY'S
352,2,BROMLEY NORTH STATION 
353,1,ADDINGTON VILLAGE INTERCHANGE
353,2,RAMSDEN ESTATE / RYE CRESCENT
354,1,BROMLEY NORTH STATION 
354,2,HIGH STREET / MAPLE ROAD
355,1,BRIXTON STATION  
355,2,MADEIRA ROAD
356,1,WICKHAM ROAD
356,2,SYDENHAM HILL / KIRKDALE
357,1,WHIPPS CROSS ROUNDABOUT
357,2,HATCH LANE
358,1,CRYSTAL PALACE PARADE
358,2,ORPINGTON STATION 
359,1,ADDINGTON VILLAGE INTERCHANGE
359,2,SELSDON LIBRARY
360,1,PRINCE CONSORT ROAD / IMPERIAL COLLEGE
360,2,ELEPHANT & CASTLE / NEWINGTON CAUSEWAY
362,1,KING GEORGE HOSPITAL
362,2,MANOR ROAD / GRANGE HILL STATION 
363,1,LAMBETH ROAD
363,2,CRYSTAL PALACE PARADE
364,1,BALLARDS ROAD
364,2,HAINAULT STREET
365,1,HAVERING PARK
365,2,MARDYKE ESTATE
366,1,BECKTON BUS STATION
366,2,FALMOUTH GARDENS
367,1,BROMLEY NORTH STATION 
367,2,WEST CROYDON BUS STATION
368,1,HARTS LANE ESTATE
368,2,CHADWELL HEATH POLICE STATION
370,1,LAKESIDE BUS STATION
370,2,MERCURY GARDENS
371,1,MANOR ROAD / SAINSBURYS
371,2,KINGSTON HALL ROAD
372,1,LAKESIDE BUS STATION
372,2,HORNCHURCH TOWN CENTRE
375,1,PASSINGFORD BRIDGE
375,2,ROMFORD STATION 
376,1,NEWHAM TOWN HALL
376,2,BECKTON BUS STATION
377,1,OAKWOOD STATION 
377,2,GLYN ROAD
379,1,YARDLEY LANE ESTATE
379,2,CHINGFORD STATION 
380,1,MOLESWORTH STREET
380,2,BELMARSH PRISON
381,1,COUNTY HALL
381,2,PECKHAM BUS STATION
382,1,MILL HILL EAST STATION 
382,2,SOUTHGATE STATION 
383,1,WOODSIDE PARK STATION 
383,2,THE SPIRES
384,1,COCKFOSTERS STATION 
384,2,QUINTA DRIVE
385,1,SALISBURY HALL SAINSBURY'S
385,2,CHINGFORD STATION 
386,1,ROYAL PARADE
