Bus_Stop_Code,Stop_Name
47530,SYDENHAM HIGH SCHOOL
47531,BROWNING AVENUE
47532,BETHANY WAYE
47533,BLACK BOY LANE
47534,WINSTON WAY PRIMARY SCHOOL
47535,HONOR OAK PARK STATION #
47536,FRIEND STREET / SADLER'S WELLS THEATRE
47537,PENGE ROAD
47538,MILLER HOUSE
47539,HAILSHAM ROAD
47540,ARGALL WAY
47541,FARNBOROUGH PARK
47542,SHELDON ROAD
47543,CHINGFORD MOUNT
47544,WOODSIDE ROAD
47545,JAFFE ROAD
47546,LUDGATE CIRCUS
47547,WARWICK ROAD
47548,THE COTTAGE LOAF
47549,MONTANA ROAD
47550,WHETSTONE POLICE STATION
47551,TOTTENHAM COURT ROAD STATION <>
47552,QUEENS AVENUE
47553,MAYFIELD ROAD
47554,REEDHAM STATION #
47555,THE ROUNDWAY / WEST ARM
47556,GIVONS ROUNDABOUT
47557,GRANGE HILL STATION <>
47558,WOOLWICH ARSENAL STATION # [DLR]
47559,ERITH STATION # / WEST STREET
47560,HILLINGDON / T A  CENTRE
47561,ARBERY ROAD
47562,BROMPTON SQUARE
47563,RIPPLE ROAD
47564,MITCHAM LANE / SOUTHCROFT ROAD
47565,CAMBRIDGE ROAD
47566,VICARAGE RD / WANDLE PARK TRAM STOP >T<
47567,BRAXFIELD ROAD
47568,AMHURST PARK / BETHUNE ROAD
47569,VANTAGE WEST
47570,COLLIERS WOOD STATION <>
47571,GRAINGER ROAD
47572,WARMINSTER WAY
47573,SEFTON AVENUE
47574,OXFORD ROAD
47575,WESTHUMBLE STREET
47576,MERCURY GARDENS
47577,CEDARS AVENUE
47578,ALBEMARLE ROAD
47579,QUEEN'S DRIVE
47580,LEAHOLME WAY
47581,ROBSON ROAD
47582,CHARLTON DRIVE
47583,QUEENHILL ROAD
47584,OSTERLEY LIBRARY
47585,FORD ROAD
47586,ARNHEM AVENUE
47587,BROWELLS LANE
47588,WARLAND ROAD
47589,BUSHEY ROAD / COLLINGWOOD ROAD
47590,FARLEY ROAD / CROHAM VALLEY ROAD
47591,JERRARD STREET
47592,LOWER ADDISON GARDENS
47593,ARRAGON GARDENS
47594,HOWDEN ROAD
47595,LEYTON LIBRARY
47596,SHAFTESBURY WAYE
47597,DOYLE ROAD
47598,BENNETTS WAY
47599,PECKHAM LIBRARY
47600,HATTON ROAD NORTH
47601,POULTON AVENUE
47602,STONEYFIELD ROAD
47603,EDERLINE AVENUE
47604,LAMBETH NORTH STATION <>
47605,UXBRIDGE HIGH STREET
47607,ARNHEM AVENUE
47608,RUISLIP ROAD EAST
47609,DACRES ROAD
47610,LARNER ROAD
47612,BUSH ROAD
47613,ISIS STREET
47614,WEST SIDE
47615,MARBLE ARCH / BAYSWATER ROAD
47616,MANOR WAYE
47617,FULTON ROAD
47619,HATHERLEY GARDENS
47620,FIVEWAYS
47621,PETER AVENUE
47622,GROVE PARK
47623,TRING AVENUE
47624,MALLARD PLACE
47625,CHESSINGTON NORTH STATION #
47626,BEAVERWOOD ROAD
47627,HYTHE ROAD
47628,MANOR LANE
47629,GREAT WESTERN ROAD
47630,ROSSINGTON STREET
47631,CHAPTER ROAD
47632,RUISLIP GARDENS STATION <>
47634,CRANFORD LANE / REDWOOD ESTATE
47635,HALBUTT STREET
47636,PALACE ROAD
47637,WHITETHORN AVENUE
47638,HIGH STREET / CHURCH HILL
47639,TYSEA HILL
47640,BLANEY CRESCENT
47641,JERSEY DRIVE
47642,CLEMENT ROAD
47643,WARREN ROAD / COURT ROAD
47644,HANAU BRIDGE
47645,FARNDALE CRESCENT
47646,BLACKWELL CLOSE
47647,TURKEY STREET STATION #
47648,HALT ROBIN LANE
47649,SIR JOHN MCDOUGAL GARDENS
47650,MILLFIELDS ROAD
47651,ALEXANDER COURT
47653,WESTBURY AVENUE / LORDSHIP LANE
47654,HOLIDAY INN
47655,HAYWARD GARDENS
47656,BEECHWOOD PARK
47657,TOTTENHAM COURT ROAD <>
47658,GOLDHAWK ROAD
47659,GLOUCESTER ROAD STATION <>
47660,CHRISTCHURCH ROAD / HILLSIDE ROAD
47661,BRAMSHOT AVENUE
47662,OAKLEY ROAD / THE LIMES
47663,GOLDERS GREEN ROAD
47664,GOLFSIDE CLOSE
47665,BARKING STATION <> #
47666,VICTORIA COACH STATION
47667,OLD COULSDON / TUDOR ROSE
47668,BARN CROFT PRIMARY SCHOOL
47669,WENTWORTH ROAD
47670,SOUTH QUAY STATION DLR
47671,ALBANY ROAD
47672,CATFORD & CATFORD BRIDGE STATIONS #
47673,SPRINGFIELD ROAD
47674,WESTBOURNE STREET
47675,QUEENSBERRY PLACE
47676,ABBEY ROAD
47677,WATERLOO STATION <> #
47678,THORNFORD ROAD
47679,ST CHAD'S ROAD
47680,FOREST ROAD
47681,MITRE BRIDGE
47682,THE HIGHWAY
47683,WESTWOOD LANE / BLACKFEN ROAD
47684,WICK ROAD / KENWORTHY ROAD
47685,ASHBOURNE ROAD
47686,WOODSIDE LANE
47687,HURST LANE
47688,ALEXANDRA ROAD
47689,LONG ELMES
47690,TOWN TREE ROAD
47691,FRANKLIN WAY / VALLEY PARK
47692,LODGE AVENUE
47693,BARROWGATE ROAD
47694,ACTON MARKET PLACE
47695,WADDON NEW ROAD / WADDON ROAD
47696,MANOR ROAD / ACRE LANE
47697,WEST BARNES LEVEL CROSSING
47698,DEANS LANE
47699,PEARSON STREET
47700,EDMONTON GREEN BUS STATION
47701,BEVERLEY GARDENS
47702,ST GEORGE'S / UNIVERSITY OF LONDON
47703,HOLLAND ROAD / UPPER ADDISON GARDENS
47704,BALLARDS ROAD
47705,SLADES HILL
47706,PYTCHLEY ROAD
47707,THE LORD HOMESDALE
47708,EAST HILL / ALMA ROAD
47709,WEST EALING BROADWAY
47710,MENELIK ROAD
47711,ST MARY'S CHURCH
47712,BRUCE CASTLE PARK
47713,HIGHGATE WOOD
47714,LIONEL ROAD NORTH
47715,LORDS CRICKET GROUND
47716,WORMWOOD STREET
47717,BEDDINGTON CROSS
47719,DONGOLA ROAD
47720,HOLLY ROAD
47721,OAKCROFT ROAD
47722,KINGS CRESCENT ESTATE
47723,MELFORD ROAD
47724,BROOK GREEN
47725,SHORROLDS ROAD
47726,NEW VICTORIA HOSPITAL
47727,BOTANY BAY / THE ROBIN HOOD
47728,WIGEON PATH
47729,WARREN DRIVE NORTH
47730,BUCKINGHAM AVENUE
47731,LIND ROAD
47732,WINCHMORE HILL POLICE STATION
47733,COPERS COPE ROAD
47734,ARGYLE ROAD / AVONDALE AVENUE
47735,O2 CENTRE
47736,OAKCROFT ROAD
47737,NORTH WOOLWICH POLICE STATION
47738,TOWER BRIDGE / CITY HALL
47739,WELL HALL ROAD / DUNBLANE ROAD
47740,PERCIVAL STREET
47741,LEAHOLME WAYE
47742,WOODMANSTERNE POST OFFICE
47744,MALPAS DRIVE
47745,GREAT BENTY
47746,HEMLOCK ROAD
47747,ST JOSEPH'S CHURCH
47748,WESTHORNE AVENUE / ELTHAM ROAD
47749,ALBANY ROAD / GREEN LANE
47750,CATERHAM VALLEY
47751,SPENCER ROAD
47752,BETHNAL GREEN STATION <>
47753,BELMORE PARADE
47754,RENNELS WAY
47755,NORTH STREET
47756,KENSINGTON OLYMPIA / HAMMERSMITH ROAD
47757,WALLASEY CRESCENT
47758,PINE WALK
47759,HILL RISE
47760,EALING BROADWAY STATION <> #
47761,BOURNE COURT
47762,MANOR WAY
47763,EASTMAN DENTAL HOSPITAL
47764,CHATSWORTH ESTATE
47765,HIGHFIELD ROAD
47766,RAPHAEL PARK
47767,THE EARDLEY ARMS
47768,RAYMOUTH ROAD
47769,CATFORD & CATFORD BRIDGE STATIONS #
47770,BEECH HILL
47771,BAKER STREET STATION <>
47772,WEST NORWOOD STATION #
47773,RANGEFIELD ROAD / SOUTHOVER
47774,BARNFIELD WOOD ROAD
47775,BROMLEY ROAD / ST GEORGE'S CHURCH
47776,THE LORD HOMESDALE
47777,TRINITY PARK
47778,ALEXANDRA AVENUE
47779,KENNINGTON PARK POST OFFICE
47780,HORNSEY POLICE STATION
47781,ST MARY'S HOSPITAL
47782,KENT HOUSE STATION #
47783,TERRACE ROAD
47784,FREDORA AVENUE
47785,MURRAY GROVE
47786,CHESTER ROAD / RAYDON STREET
47787,TOWNMEAD ROAD
47788,FARWIG LANE
47790,ST BARNABAS HALL
47791,FINSBURY SQUARE / MOORGATE
47792,QUEEN ANNE AVENUE
47793,GRANGE WOOD
47794,BATH ROAD
47795,ELIM PENTECOSTAL CHURCH
47796,AVENUE ROAD
47797,BOSWORTH ROAD / GARROW HOUSE - RNIB
47798,KINGSHILL AVENUE
47799,LEAF GROVE
47800,BERKELEY CLOSE
47801,ST MARK'S HOSPITAL
47802,ABBEY STREET
47803,MANSFIELD PARK
47804,PARSONAGE LANE
47805,LOXFORD HALL
47806,PRIORY ROAD
47807,ANGUS GARDENS
47808,SPRING GARDENS
47809,THE BRIDLE ROAD
47810,MONKLEIGH ROAD
47811,MARTINS CORNER / WOOD LANE
47812,KNIGHTSBRIDGE GARDENS
47813,LOVETT ROAD
47814,BELL LANE
47815,BROADMEAD ROAD
47816,PUTNEY LEISURE CENTRE
47817,THE WEALDSTONE CENTRE
47818,ASHRIDGE WAY
47819,BRIGHTS AVENUE
47820,CATTERICK WAY
47821,EXETER HOUSE
47822,HAMPTON ROAD
47823,ELMERS END / STATION PARADE
47824,PRINCES ROAD
47825,PICKFORD LANE / BOWFORD AVENUE
47826,HORNSEY POLICE STATION
47827,WALTHAM FOREST COLLEGE
47828,DENHAM STATION #
47829,DOME HILL PARK
47830,THORNSETT ROAD
47831,COOMBE LANE WEST
47832,MANDEVILLE COMMUNITY PRIMARY SCHOOL
47834,AMHURST ROAD / DALSTON LANE
47835,BRIXTON WATER LANE
47836,PENARTH STREET
47837,DYSART AVENUE
47838,BRUCE GROVE STATION #
47839,LYNDHURST AVENUE
47840,EAST CLOSE
47841,SWAMINARAYAN TEMPLE
47842,PEMBURY ROAD
47843,CAMDEN TOWN STATION <>
47844,CITY THAMESLINK STATION #
47845,BRIAR ROAD
47846,OLD FORD ROAD
47847,FULHAM BROADWAY
47848,BLACKWALL TUNNEL
47849,SHIP LANE / STAG BREWERY
47850,THE BERRYLANDS / BERRYLANDS STATION #
47851,ROYAL MARSDEN HOSPITAL / DOWNS ROAD
47852,TANGLEWOOD
47854,PORLOCK AVENUE
47855,CHURCH APPROACH
47856,GROVE ROAD
47857,NORLAND SQUARE
47858,HESTON HEALTH CENTRE
47859,STANMORE HILL
47860,PETERSHAM / FOX & DUCK
47861,EASTERN AVENUE
47862,PLAISTOW GROVE
47863,CITY OF LONDON CEMETERY
47864,HAYDONS ROAD STATION #
47865,UNION ROAD
47866,CANONS PARK STATION <>
47867,BEDDINGTON LANE TRAM STOP >T<
47868,CHESSINGTON WORLD OF ADVENTURES
47869,SHIRLEY OAKS ROAD
47870,DAWS LANE
47871,SOUTH MERTON STATION #
47872,OLD ROYAL MILITARY ACADEMY
47873,WOOD END GREEN ROAD
47874,WESTERN ROAD
47875,ST THOMAS' DRIVE
47876,ST DONATTS ROAD
47877,CROW LANE
47878,FAIRDALE GARDENS
47879,THE AVENUE
47880,RIDDLESDOWN SCHOOL / RIDDLESDOWN STN #
47881,RAYNES PARK STATION #
47882,NORWOOD PARK
